Account.Id,ID,Name,Contract_Price_Model__c,StageName,Amount,Probability,CloseDate,Type,Consultants__c,Country__c,Months__c,Sector__c,Contract_Category__c,Business_Unit__c,Amount_Old_Value__c,StageName_Priorvalue__c,EUR_Rate__c,Project_Start_Date__c
1,1,Nordvik Solutions AS - Digital Transformation Project,,1 - Possibility,630000,10,2025-08-30,Resources,1,Norway,3,DHS,,APPS,630000,0 - Planning,11.52,2025-08-30
2,3,Fjordlys Consulting -Cloud Migration Initiative,,0 - Planning,3500000,0,2025-09-30,Resources,4,Sweden,6,TMT,,,0,0 - Planning,11.31,2025-09-30
3,5,Blåberg Energi -Data Analytics Implementation,T&M (No estimates or cap),1 - Possibility,630000,30,2025-08-31,Resources,1,Norway,3,FS,New call off (Agreement on existing contract),DPS,630000,1 - Possibility,11.52,2025-08-31
4,9,Vik & Sønner AS -ERP Modernization Program,,1 - Possibility,210000,10,2025-12-31,Frame agreement,1,Norway,1,FS,,APPS,210000,1 - Possibility,11.52,2025-12-31
5,13,Polarstrand Transport -Fleet IoT Integration,,1 - Possibility,210000,10,2025-09-01,Frame agreement,1,Norway,1,Energy,,APPS,0,0 - Planning,11.52,2025-09-01
6,17,GrønnDal Entreprenør -Construction Management Software Setup,,1 - Possibility,1260000,10,2025-10-31,Resources,1,Norway,6,Transport,,APPS;DPS,1260000,0 - Planning,11.52,2025-10-31
7,18,Sørfjord Data -Cybersecurity Assessment,,1 - Possibility,1260000,10,2025-10-31,Resources,1,Norway,6,Transport,,APPS;DPS,0,0 - Planning,11.52,2025-10-31
8,23,Havblikk Marine AS -Maritime Systems Upgrade,Fixed price/Target price,1 - Possibility,840000,10,2025-06-30,Resources,2,Norway,2,DHS,New call off (Agreement on existing contract),APPS,840000,1 - Possibility,11.52,2025-06-30
9,24,OsloTeknikk -CRM Platform Rollout,Fixed price/Target price,1 - Possibility,840000,10,2025-06-30,Resources,2,Norway,2,Industry,New call off (Agreement on existing contract),APPS,840000,1 - Possibility,11.52,2025-06-30
10,26,Lysengen Design -E-Commerce Platform Integration,Fixed price/Target price,1 - Possibility,840000,10,2025-06-30,Resources,2,Norway,2,Energy,New call off (Agreement on existing contract),APPS,840000,1 - Possibility,11.52,2025-06-30
11,27,Nordhavn Mat AS -Supply Chain Optimization Project,,0 - Planning,,0,2025-12-31,Project,0,Norway,0,,,APPS,0,0 - Planning,11.52,2025-12-31
12,30,Fjellstrøm IT -Managed Services Agreement,,1 - Possibility,630000,10,2025-12-31,Resources,1,Norway,3,FS,,APPS;DPS,630000,0 - Planning,11.52,2025-12-31
13,31,Vestmark Rørservice -Field Service Management Implementation,,1 - Possibility,420000,10,2025-09-30,Project,2,Sweden,1,Healthcare,New contract (not connected to framework/capacity agreement),,420000,1 - Possibility,11.31,2025-09-30
14,33,Elvebredd Elektro -Smart Grid Consulting Project,T&M (No estimates or cap),1 - Possibility,200000,50,2025-08-31,Project,2,Norway,5,,New contract (not connected to framework/capacity agreement),Advisory,0,1 - Possibility,11.52,2025-08-31
15,34,Aurora Bygg og Anlegg -Project Management Tool Deployment,,1 - Possibility,630000,10,2025-09-30,Frame agreement,1,Denmark,3,Other,,APPS,630000,1 - Possibility,11.52,2025-09-30
16,35,Boreal Finans AS -AI-Driven Risk Analysis,,1 - Possibility,300000,10,2025-09-30,Resources,2,Sweden,1,TMT,,,0,1 - Possibility,11.31,2025-09-30
17,40,Solbrekka Eiendom -Tenant Portal Development,,1 - Possibility,420000,10,2025-09-30,Frame agreement,1,Faroes,2,Government,,APPS,420000,1 - Possibility,11.52,2025-09-30
18,42,Tindefjell Turistservice -Booking Platform Upgrade,,0 - Planning,,0,2025-12-31,Project,0,Norway,0,Other,,APPS,0,0 - Planning,11.52,2025-12-31
19,45,Havørna Regnskap -Financial Systems Migration,,0 - Planning,,0,2026-10-31,Frame agreement,0,Sweden,0,Government,,,0,0 - Planning,11.31,2026-10-31
20,48,Granly Kantine -POS System Implementation,,1 - Possibility,5040000,50,2025-07-31,Capacity agreement,2,Norway,12,Energy,,APPS,5040000,1 - Possibility,11.52,2025-08-01
21,51,Kystvind Shipping -Logistics Optimization Platform,T&M with estimates / delivery responsibility,1 - Possibility,45360000,40,2025-12-31,Capacity agreement,6,Norway,36,Energy,,APPS;DPS;Advisory,45360000,1 - Possibility,11.52,2025-12-31
22,64,Arktisk Lys Reklame -Digital Signage Automation,T&M (No estimates or cap),0 - Planning,15120000,0,2025-09-30,Resources,6,Norway,12,Industry,New contract (not connected to framework/capacity agreement),DPS,15120000,0 - Planning,11.52,2025-09-30
23,65,Varden Auto -Dealer Management System Upgrade,,0 - Planning,950000,0,2025-10-31,Resources,1,Sweden,6,TMT,,,0,0 - Planning,11.31,2025-10-31
24,70,Himmelblå Produkter -Product Lifecycle Management Project,,1 - Possibility,2520000,10,2025-12-31,Capacity agreement,1,Denmark,12,Government,,APPS,2520000,1 - Possibility,11.52,2025-12-31
25,71,Snøtind AS -Cloud Services Contract,,0 - Planning,,0,2025-12-31,Project,0,Norway,0,,,APPS,0,0 - Planning,11.52,2025-12-31
26,72,Nordstrand Kulturservice -Digital Ticketing System Rollout,,0 - Planning,,0,2025-11-30,Project,0,Norway,0,Industry,,APPS,0,0 - Planning,11.52,2025-11-30
27,73,Lyngbråten Landbruk -Precision Agriculture Data Platform,T&M (No estimates or cap),0 - Planning,,0,2025-11-30,Project,0,Norway,0,,New contract (not connected to framework/capacity agreement),APPS,0,0 - Planning,11.52,2025-11-30
28,74,Sjøbris Catering -Online Ordering System Deployment,T&M (No estimates or cap),1 - Possibility,840000,10,2025-09-01,Resources,2,Norway,2,FS,New call off (Agreement on existing contract),APPS,840000,1 - Possibility,11.52,2025-09-01
29,76,Rødli Rør og Varme -Mobile Field App Deployment,FAST,1 - Possibility,199999,10,2025-10-31,Project,2,Norway,0.5,,New contract (not connected to framework/capacity agreement),APPS;DPS;Advisory,0,1 - Possibility,11.52,2025-10-31
30,78,Stormheim IT-Tjenester -Network Infrastructure Overhaul,,1 - Possibility,630000,10,2025-11-28,Resources,1,Norway,3,Other,,DPS,630000,0 - Planning,11.52,2025-11-28
31,79,Vestfjord Verksted -IoT Machine Monitoring Setup,Fixed price/Target price,0 - Planning,199999,0,2025-09-01,Project,2,Norway,0.5,Government,New contract (not connected to framework/capacity agreement),APPS;DPS;Advisory,0,0 - Planning,11.52,2025-09-01
32,80,Havkraft AS -Renewable Energy Data Analytics,,0 - Planning,199999,0,2026-02-01,Project,2,Norway,0.5,,,APPS;DPS;Advisory,0,0 - Planning,11.52,2026-02-01
33,81,Skogholt Sagbruk -Production Process Automation,,0 - Planning,199999,0,2025-11-01,Project,2,Norway,0.5,,,APPS;DPS;Advisory,0,0 - Planning,11.52,2025-11-01
34,82,Granitbygg AS -BIM Technology Implementation,FAST,0 - Planning,199999,0,2025-12-31,Project,2,Norway,0.5,Retail,New contract (not connected to framework/capacity agreement),APPS;DPS;Advisory,0,0 - Planning,11.52,2025-12-31
35,86,Røysland Rengjøring -Workforce Scheduling Platform,T&M (No estimates or cap),1 - Possibility,630000,10,2025-08-29,Managed Services Add-On,1,Norway,3,Government,New call off (Agreement on existing contract),DPS,630000,0 - Planning,11.52,2025-08-29
36,87,Vinterdal Media -Digital Asset Management System,,1 - Possibility,630000,10,2025-09-30,Resources,1,Norway,3,DHS,,APPS;Advisory,630000,0 - Planning,11.52,2025-09-30
37,91,Elveøy Fiskeri -Fisheries Data Tracking System,,0 - Planning,600000,0,2025-10-31,Project,0,Norway,0,Government,Change to an active call off or contract,APPS;DPS;Advisory,0,0 - Planning,11.52,2025-10-31
38,94,Polarhavn Logistikk -Supply Chain Visibility Platform,T&M (No estimates or cap),0 - Planning,,0,2025-12-06,Project,0,Norway,0,Government,,APPS;DPS;Advisory,0,0 - Planning,11.52,2025-12-06
39,98,Kraftlyd Musikkstudio -Audio Production Workflow Upgrade,,1 - Possibility,630000,10,2025-06-30,Resources,1,Norway,3,Energy,,Advisory,630000,0 - Planning,11.52,2025-06-30
40,99,Blåfjell Bad & Kjøkken -Inventory Management System,,1 - Possibility,630000,10,2025-06-30,Resources,1,Norway,3,Energy,,DPS;Advisory,630000,0 - Planning,11.52,2025-06-30
41,100,Havtind Eiendomsutvikling -Real Estate CRM Rollout,T&M (No estimates or cap),1 - Possibility,630000,10,2025-06-30,Resources,1,Norway,3,Other,New contract (not connected to framework/capacity agreement),DPS,630000,4 - Offer,11.52,2025-06-30
42,106,Gullfoss Regnskap -Cloud Accounting Migration,T&M (No estimates or cap),1 - Possibility,630000,30,2025-08-31,Resources,1,Norway,3,FS,New call off (Agreement on existing contract),APPS;DPS,630000,1 - Possibility,11.52,2025-08-31
